date,symbol,marketcapname,sector
03-10-2023,TATAMTRDVR,Largecap,Auto
03-10-2023,BOMDYEING,Smallcap,Textiles
03-10-2023,BAJAJHIND,Smallcap,FMCG
03-10-2023,FORCEMOT,Midcap,Auto
03-10-2023,CENTURYTEX,Largecap,Industrials
03-10-2023,BEML,Midcap,Aerospace & Defence
03-10-2023,SAKSOFT,Smallcap,I.T
03-10-2023,CGPOWER,Largecap,FMCG
03-10-2023,ARVIND,Midcap,Textiles
03-10-2023,ORISSAMINE,Smallcap,Industrials
03-10-2023,IFCI,Midcap,Finance
03-10-2023,MRPL,Largecap,Industrials
03-10-2023,FINCABLES,Midcap,Industrials
03-10-2023,GODREJIND,Largecap,Industrials
03-10-2023,HSCL,Midcap,Industrials
03-10-2023,AGI,Smallcap,Services
03-10-2023,JISLJALEQS,Smallcap,FMCG
03-10-2023,KSL,Smallcap,Metals
03-10-2023,KSB,Midcap,FMCG
03-10-2023,LICHSGFIN,Largecap,Finance
03-10-2023,LUPIN,Largecap,Pharmaceuticals
03-10-2023,MAHSCOOTER,Midcap,Finance
03-10-2023,MRF,Largecap,Auto
03-10-2023,THERMAX,Largecap,FMCG
03-10-2023,THOMASCOOK,Midcap,Miscellaneous
03-10-2023,PGHH,Largecap,FMCG
03-10-2023,FEDERALBNK,Largecap,Bank
03-10-2023,TATACOMM,Largecap,Telecom
03-10-2023,BHARATFORG,Largecap,Industrials
03-10-2023,ESCORTS,Largecap,Auto
03-10-2023,GRWRHITECH,Smallcap,Services
03-10-2023,COLPAL,Largecap,FMCG
03-10-2023,PHOENIXLTD,Largecap,Realty
03-10-2023,SWANENERGY,Midcap,Miscellaneous
03-10-2023,ZENSARTECH,Midcap,I.T
03-10-2023,SARDAEN,Midcap,Metals
03-10-2023,WENDT,Smallcap,FMCG
03-10-2023,RESPONIND,Midcap,FMCG
03-10-2023,WESTLIFE,Midcap,Quick Service Restaurant
03-10-2023,GABRIEL,Midcap,Auto
03-10-2023,PRAKASH,Smallcap,Metals
03-10-2023,COROMANDEL,Largecap,Industrials
03-10-2023,ASTRAZEN,Midcap,Pharmaceuticals
03-10-2023,JBCHEPHARM,Largecap,Pharmaceuticals
03-10-2023,DHANUKA,Midcap,Industrials
03-10-2023,SHRIRAMFIN,Largecap,Finance
03-10-2023,GATEWAY,Midcap,Services
03-10-2023,MSUMI,Largecap,Auto
03-10-2023,NAVA,Midcap,Miscellaneous
03-10-2023,PARADEEP,Midcap,Industrials
03-10-2023,ETHOSLTD,Midcap,FMCG
03-10-2023,PITTIENG,Smallcap,FMCG
03-10-2023,HINDCOPPER,Largecap,Metals
03-10-2023,WELSPUNLIV,Midcap,Textiles
03-10-2023,PRICOLLTD,Midcap,Auto
03-10-2023,ANANTRAJ,Midcap,Realty
03-10-2023,LUMAXIND,Smallcap,Auto
03-10-2023,GIPCL,Smallcap,Miscellaneous
03-10-2023,EMIL,Midcap,FMCG
03-10-2023,WEBELSOLAR,Smallcap,FMCG
03-10-2023,KAYNES,Largecap,FMCG
03-10-2023,KFINTECH,Midcap,Financial Services
03-10-2023,HONDAPOWER,Smallcap,FMCG
03-10-2023,DIACABS,Midcap,Industrials
03-10-2023,PRAJIND,Midcap,FMCG
03-10-2023,GET&D,Largecap,FMCG
03-10-2023,JAYNECOIND,Smallcap,Metals
03-10-2023,SAFARI,Midcap,FMCG
03-10-2023,3MINDIA,Largecap,Miscellaneous
03-10-2023,JMFINANCIL,Midcap,Finance
03-10-2023,LINDEINDIA,Largecap,Industrials
03-10-2023,SCI,Midcap,Services
03-10-2023,ITI,Largecap,Telecom
03-10-2023,HMAAGRO,Smallcap,FMCG
03-10-2023,CYIENTDLM,Midcap,FMCG
03-10-2023,CONCORDBIO,Midcap,Pharmaceuticals
03-10-2023,BSE,Largecap,Financial Services
03-10-2023,HUDCO,Largecap,Finance
03-10-2023,ERIS,Midcap,Pharmaceuticals
03-10-2023,COCHINSHIP,Largecap,Aerospace & Defence
03-10-2023,DIXON,Largecap,FMCG
03-10-2023,AUROPHARMA,Largecap,Pharmaceuticals
03-10-2023,DCAL,Smallcap,Pharmaceuticals
03-10-2023,NMDC,Largecap,Industrials
03-10-2023,MASFIN,Smallcap,Finance
03-10-2023,GICRE,Largecap,Services
03-10-2023,NAM-INDIA,Largecap,Finance
03-10-2023,NIACL,Largecap,Services
03-10-2023,ASHAPURMIN,Smallcap,Industrials
03-10-2023,SHALBY,Smallcap,Pharmaceuticals
03-10-2023,SANDHAR,Smallcap,Auto
03-10-2023,MIDHANI,Midcap,Aerospace & Defence
03-10-2023,LEMONTREE,Midcap,Services
03-10-2023,GENUSPOWER,Midcap,FMCG
03-10-2023,NRBBEARING,Smallcap,Industrials
03-10-2023,VARROC,Midcap,Auto
03-10-2023,GOODLUCK,Smallcap,Metals
03-10-2023,HDFCAMC,Largecap,Finance
03-10-2023,IRCON,Largecap,Realty
03-10-2023,CUPID,Smallcap,Miscellaneous
03-10-2023,GRSE,Midcap,Aerospace & Defence
03-10-2023,VSTTILLERS,Smallcap,Auto
03-10-2023,CHOICEIN,Midcap,Finance
03-10-2023,CHALET,Midcap,Services
03-10-2023,SHAKTIPUMP,Midcap,FMCG
03-10-2023,GENSOL,Smallcap,Realty
03-10-2023,CSBBANK,Midcap,Bank
03-10-2023,UJJIVANSFB,Midcap,Bank
03-10-2023,SUVENPHAR,Midcap,Pharmaceuticals
03-10-2023,KDDL,Smallcap,FMCG
03-10-2023,ROUTE,Midcap,I.T
03-10-2023,WELCORP,Midcap,Metals
03-10-2023,BANKINDIA,Largecap,Bank
03-10-2023,ANGELONE,Largecap,Services
03-10-2023,MAZDOCK,Largecap,Industrials
03-10-2023,GMDCLTD,Midcap,Industrials
03-10-2023,J&KBANK,Midcap,Bank
03-10-2023,SOUTHBANK,Midcap,Bank
03-10-2023,APARINDS,Largecap,FMCG
03-10-2023,BFUTILITIE,Smallcap,Miscellaneous
03-10-2023,MPSLTD,Smallcap,I.T
03-10-2023,UCOBANK,Largecap,Bank
03-10-2023,JSL,Largecap,Metals
03-10-2023,MAHABANK,Largecap,Bank
03-10-2023,WELENT,Midcap,Realty
03-10-2023,GOKEX,Midcap,FMCG
03-10-2023,KTKBANK,Midcap,Bank
03-10-2023,IDFC,Midcap,Finance
03-10-2023,SUZLON,Largecap,FMCG
03-10-2023,KEC,Largecap,FMCG
03-10-2023,SOLARINDS,Largecap,Aerospace & Defence
03-10-2023,SUNTV,Largecap,Media
03-10-2023,GPIL,Midcap,Metals
03-10-2023,RSYSTEMS,Midcap,I.T
03-10-2023,PGIL,Smallcap,FMCG
03-10-2023,FSL,Midcap,I.T
03-10-2023,INDIANB,Largecap,Bank
03-10-2023,TIMETECHNO,Midcap,FMCG
03-10-2023,CENTRALBK,Largecap,Bank
03-10-2023,KPRMILL,Largecap,FMCG
03-10-2023,PURVA,Midcap,Realty
03-10-2023,RELIGARE,Midcap,Finance
03-10-2023,EDELWEISS,Midcap,Finance
03-10-2023,KOLTEPATIL,Smallcap,Realty
03-10-2023,JYOTHYLAB,Midcap,FMCG
03-10-2023,TRIL,Midcap,FMCG
03-10-2023,RPOWER,Midcap,Miscellaneous
03-10-2023,JKIL,Midcap,Realty
03-10-2023,TITAGARH,Midcap,FMCG
03-10-2023,JAIBALAJI,Midcap,Metals
03-10-2023,ZFCVINDIA,Largecap,Auto
03-10-2023,MHRIL,Midcap,Services
03-10-2023,OIL,Largecap,Oils
03-10-2023,DEN,Smallcap,Media
03-10-2023,DBREALTY,Midcap,Realty
03-10-2023,MANINFRA,Midcap,Realty
03-10-2023,PERSISTENT,Largecap,I.T
03-10-2023,SJVN,Largecap,Miscellaneous
03-10-2023,RAMKY,Smallcap,Realty
03-10-2023,ASHOKA,Midcap,Realty
03-10-2023,OBEROIRLTY,Largecap,Realty
03-10-2023,GRAVITA,Midcap,Metals
03-10-2023,KIRLOSENG,Midcap,FMCG
03-10-2023,PSB,Largecap,Bank
03-10-2023,PFS,Smallcap,Finance
03-10-2023,PGEL,Midcap,FMCG
03-10-2023,SCHNEIDER,Largecap,FMCG
03-10-2023,NBCC,Largecap,Realty
03-10-2023,JTLIND,Smallcap,Metals
03-10-2023,CARERATING,Smallcap,Miscellaneous
03-10-2023,RAILTEL,Midcap,Telecom
03-10-2023,MTARTECH,Midcap,Aerospace & Defence
03-10-2023,REPCOHOME,Smallcap,Finance
03-10-2023,SONACOMS,Largecap,Auto
03-10-2023,DEVYANI,Midcap,Quick Service Restaurant
03-10-2023,WONDERLA,Smallcap,Media
03-10-2023,SKIPPER,Smallcap,Industrials
03-10-2023,ANANDRATHI,Midcap,Finance
03-10-2023,MAPMYINDIA,Midcap,I.T
03-10-2023,INTELLECT,Midcap,I.T
03-10-2023,MINDACORP,Midcap,Auto
03-10-2023,IDFCFIRSTB,Largecap,Bank
03-10-2023,UJJIVAN,Midcap,Finance
03-10-2023,PILANIINVS,Smallcap,Finance
03-10-2023,RBLBANK,Midcap,Bank
03-10-2023,LTTS,Largecap,I.T
03-10-2023,PNBHOUSING,Largecap,Finance
04-10-2023,TATAMTRDVR,Largecap,Auto
04-10-2023,BOMDYEING,Smallcap,Textiles
04-10-2023,BAJAJHIND,Smallcap,FMCG
04-10-2023,FORCEMOT,Midcap,Auto
04-10-2023,CENTURYTEX,Largecap,Industrials
04-10-2023,BEML,Midcap,Aerospace & Defence
04-10-2023,CGPOWER,Largecap,FMCG
04-10-2023,ARVIND,Midcap,Textiles
04-10-2023,ORISSAMINE,Smallcap,Industrials
04-10-2023,IFCI,Midcap,Finance
04-10-2023,MRPL,Largecap,Industrials
04-10-2023,IDBI,Largecap,Bank
04-10-2023,FINCABLES,Midcap,Industrials
04-10-2023,GODREJIND,Largecap,Industrials
04-10-2023,HSCL,Midcap,Industrials
04-10-2023,AGI,Smallcap,Services
04-10-2023,JISLJALEQS,Smallcap,FMCG
04-10-2023,KSL,Smallcap,Metals
04-10-2023,KSB,Midcap,FMCG
04-10-2023,LICHSGFIN,Largecap,Finance
04-10-2023,LUPIN,Largecap,Pharmaceuticals
04-10-2023,MAHSCOOTER,Midcap,Finance
04-10-2023,THERMAX,Largecap,FMCG
04-10-2023,THOMASCOOK,Midcap,Miscellaneous
04-10-2023,PGHH,Largecap,FMCG
04-10-2023,FEDERALBNK,Largecap,Bank
04-10-2023,TATACOMM,Largecap,Telecom
04-10-2023,BHARATFORG,Largecap,Industrials
04-10-2023,ESCORTS,Largecap,Auto
04-10-2023,GRWRHITECH,Smallcap,Services
04-10-2023,COLPAL,Largecap,FMCG
04-10-2023,PHOENIXLTD,Largecap,Realty
04-10-2023,SWANENERGY,Midcap,Miscellaneous
04-10-2023,ZENSARTECH,Midcap,I.T
04-10-2023,SARDAEN,Midcap,Metals
04-10-2023,WENDT,Smallcap,FMCG
04-10-2023,RESPONIND,Midcap,FMCG
04-10-2023,GABRIEL,Midcap,Auto
04-10-2023,PRAKASH,Smallcap,Metals
04-10-2023,COROMANDEL,Largecap,Industrials
04-10-2023,ASTRAZEN,Midcap,Pharmaceuticals
04-10-2023,JBCHEPHARM,Largecap,Pharmaceuticals
04-10-2023,DHANUKA,Midcap,Industrials
04-10-2023,SHRIRAMFIN,Largecap,Finance
04-10-2023,GATEWAY,Midcap,Services
04-10-2023,MSUMI,Largecap,Auto
04-10-2023,NAVA,Midcap,Miscellaneous
04-10-2023,ETHOSLTD,Midcap,FMCG
04-10-2023,SSWL,Smallcap,Auto
04-10-2023,PITTIENG,Smallcap,FMCG
04-10-2023,HINDCOPPER,Largecap,Metals
04-10-2023,PRICOLLTD,Midcap,Auto
04-10-2023,ANANTRAJ,Midcap,Realty
04-10-2023,LUMAXIND,Smallcap,Auto
04-10-2023,GIPCL,Smallcap,Miscellaneous
04-10-2023,EMIL,Midcap,FMCG
04-10-2023,WEBELSOLAR,Smallcap,FMCG
04-10-2023,KAYNES,Largecap,FMCG
04-10-2023,KFINTECH,Midcap,Financial Services
04-10-2023,HONDAPOWER,Smallcap,FMCG
04-10-2023,DIACABS,Midcap,Industrials
04-10-2023,PRAJIND,Midcap,FMCG
04-10-2023,GET&D,Largecap,FMCG
04-10-2023,SAFARI,Midcap,FMCG
04-10-2023,3MINDIA,Largecap,Miscellaneous
04-10-2023,JMFINANCIL,Midcap,Finance
04-10-2023,LINDEINDIA,Largecap,Industrials
04-10-2023,SCI,Midcap,Services
04-10-2023,ITI,Largecap,Telecom
04-10-2023,HMAAGRO,Smallcap,FMCG
04-10-2023,CYIENTDLM,Midcap,FMCG
04-10-2023,YATHARTH,Smallcap,Pharmaceuticals
04-10-2023,CONCORDBIO,Midcap,Pharmaceuticals
04-10-2023,BSE,Largecap,Financial Services
04-10-2023,HUDCO,Largecap,Finance
04-10-2023,ERIS,Midcap,Pharmaceuticals
04-10-2023,COCHINSHIP,Largecap,Aerospace & Defence
04-10-2023,DIXON,Largecap,FMCG
04-10-2023,AUROPHARMA,Largecap,Pharmaceuticals
04-10-2023,NMDC,Largecap,Industrials
04-10-2023,MASFIN,Smallcap,Finance
04-10-2023,GICRE,Largecap,Services
04-10-2023,NAM-INDIA,Largecap,Finance
04-10-2023,NIACL,Largecap,Services
04-10-2023,ASHAPURMIN,Smallcap,Industrials
04-10-2023,SHALBY,Smallcap,Pharmaceuticals
04-10-2023,SANDHAR,Smallcap,Auto
04-10-2023,MIDHANI,Midcap,Aerospace & Defence
04-10-2023,LEMONTREE,Midcap,Services
04-10-2023,GENUSPOWER,Midcap,FMCG
04-10-2023,VARROC,Midcap,Auto
04-10-2023,GOODLUCK,Smallcap,Metals
04-10-2023,HDFCAMC,Largecap,Finance
04-10-2023,IRCON,Largecap,Realty
04-10-2023,CUPID,Smallcap,Miscellaneous
04-10-2023,GRSE,Midcap,Aerospace & Defence
04-10-2023,VSTTILLERS,Smallcap,Auto
04-10-2023,CHOICEIN,Midcap,Finance
04-10-2023,CHALET,Midcap,Services
04-10-2023,SHAKTIPUMP,Midcap,FMCG
04-10-2023,GENSOL,Smallcap,Realty
04-10-2023,POLYMED,Midcap,Pharmaceuticals
04-10-2023,CSBBANK,Midcap,Bank
04-10-2023,UJJIVANSFB,Midcap,Bank
04-10-2023,SUVENPHAR,Midcap,Pharmaceuticals
04-10-2023,KDDL,Smallcap,FMCG
04-10-2023,ROUTE,Midcap,I.T
04-10-2023,WELCORP,Midcap,Metals
04-10-2023,BANKINDIA,Largecap,Bank
04-10-2023,ANGELONE,Largecap,Services
04-10-2023,MAZDOCK,Largecap,Industrials
04-10-2023,GMDCLTD,Midcap,Industrials
04-10-2023,J&KBANK,Midcap,Bank
04-10-2023,SOUTHBANK,Midcap,Bank
04-10-2023,APARINDS,Largecap,FMCG
04-10-2023,TRIVENI,Midcap,FMCG
04-10-2023,MPSLTD,Smallcap,I.T
04-10-2023,UCOBANK,Largecap,Bank
04-10-2023,JSL,Largecap,Metals
04-10-2023,MAHABANK,Largecap,Bank
04-10-2023,WELENT,Midcap,Realty
04-10-2023,GOKEX,Midcap,FMCG
04-10-2023,KTKBANK,Midcap,Bank
04-10-2023,IDFC,Midcap,Finance
04-10-2023,SUZLON,Largecap,FMCG
04-10-2023,KEC,Largecap,FMCG
04-10-2023,SOLARINDS,Largecap,Aerospace & Defence
04-10-2023,SUNTV,Largecap,Media
04-10-2023,GPIL,Midcap,Metals
04-10-2023,RSYSTEMS,Midcap,I.T
04-10-2023,PGIL,Smallcap,FMCG
04-10-2023,FSL,Midcap,I.T
04-10-2023,INDIANB,Largecap,Bank
04-10-2023,TIMETECHNO,Midcap,FMCG
04-10-2023,CENTRALBK,Largecap,Bank
04-10-2023,KPRMILL,Largecap,FMCG
04-10-2023,PURVA,Midcap,Realty
04-10-2023,RELIGARE,Midcap,Finance
04-10-2023,EDELWEISS,Midcap,Finance
04-10-2023,KOLTEPATIL,Smallcap,Realty
04-10-2023,JYOTHYLAB,Midcap,FMCG
04-10-2023,TRIL,Midcap,FMCG
04-10-2023,RPOWER,Midcap,Miscellaneous
04-10-2023,JKIL,Midcap,Realty
04-10-2023,TITAGARH,Midcap,FMCG
04-10-2023,JAIBALAJI,Midcap,Metals
04-10-2023,ZFCVINDIA,Largecap,Auto
04-10-2023,MHRIL,Midcap,Services
04-10-2023,DEN,Smallcap,Media
04-10-2023,DBREALTY,Midcap,Realty
04-10-2023,MANINFRA,Midcap,Realty
04-10-2023,PERSISTENT,Largecap,I.T
04-10-2023,SJVN,Largecap,Miscellaneous
04-10-2023,RAMKY,Smallcap,Realty
04-10-2023,ASHOKA,Midcap,Realty
04-10-2023,OBEROIRLTY,Largecap,Realty
04-10-2023,GRAVITA,Midcap,Metals
04-10-2023,KIRLOSENG,Midcap,FMCG
04-10-2023,PSB,Largecap,Bank
04-10-2023,PFS,Smallcap,Finance
04-10-2023,SCHNEIDER,Largecap,FMCG
04-10-2023,NBCC,Largecap,Realty
