date,symbol,marketcapname,sector
25-01-2024,AEGISLOG,Largecap,Services
25-01-2024,BOMDYEING,Smallcap,Textiles
25-01-2024,KARURVYSYA,Midcap,Bank
25-01-2024,TIDEWATER,Smallcap,Industrials
25-01-2024,XPROINDIA,Smallcap,Services
25-01-2024,BANCOINDIA,Smallcap,Auto
25-01-2024,FACT,Largecap,Industrials
25-01-2024,SPIC,Smallcap,Industrials
25-01-2024,BLUESTARCO,Largecap,FMCG
25-01-2024,IMPAL,Smallcap,Auto
25-01-2024,KCP,Smallcap,Industrials
25-01-2024,CIPLA,Largecap,Pharmaceuticals
25-01-2024,ARVIND,Midcap,Textiles
25-01-2024,MRPL,Largecap,Industrials
25-01-2024,SAIL,Largecap,Metals
25-01-2024,DRREDDY,Largecap,Pharmaceuticals
25-01-2024,EIDPARRY,Midcap,FMCG
25-01-2024,PGHL,Midcap,Pharmaceuticals
25-01-2024,ELECTCAST,Midcap,Industrials
25-01-2024,MADRASFERT,Smallcap,Industrials
25-01-2024,FINCABLES,Largecap,Industrials
25-01-2024,GODFRYPHLP,Largecap,FMCG
25-01-2024,GODREJIND,Largecap,Industrials
25-01-2024,HEROMOTOCO,Largecap,Auto
25-01-2024,HFCL,Largecap,Telecom
25-01-2024,HSCL,Largecap,Industrials
25-01-2024,HINDOILEXP,Smallcap,Oils
25-01-2024,KIRLOSIND,Midcap,Finance
25-01-2024,LICHSGFIN,Largecap,Finance
25-01-2024,LUPIN,Largecap,Pharmaceuticals
25-01-2024,MAHSEAMLES,Midcap,Metals
25-01-2024,MRF,Largecap,Auto
25-01-2024,NIITLTD,Smallcap,I.T
25-01-2024,JINDALSAW,Largecap,Metals
25-01-2024,JKLAKSHMI,Midcap,Industrials
25-01-2024,TATAPOWER,Largecap,Miscellaneous
25-01-2024,SUNDRMFAST,Largecap,Auto
25-01-2024,SUNFLAG,Smallcap,Metals
25-01-2024,ACC,Largecap,Industrials
25-01-2024,TIRUMALCHM,Smallcap,Industrials
25-01-2024,THOMASCOOK,Midcap,Miscellaneous
25-01-2024,TORNTPHARM,Largecap,Pharmaceuticals
25-01-2024,WSTCSTPAPR,Smallcap,Industrials
25-01-2024,CUMMINSIND,Largecap,FMCG
25-01-2024,BAJAJHLDNG,Largecap,Finance
