Stock,Trendlyne Valuation Score,Trendlyne Durability Score,Trendlyne Momentum Score,Current Price Rs,MCAP Cr,Latest Financial Result,PE Trailing 12M,My Notes
Indian Bank,88.16667,65.00000,64.73000,142.15,17703.9452365,2021-03-31,5.097890982955148600922103222,
Indian Sucrose Ltd.,87.50000,65.00000,75.85000,48.80,75.4535840,2021-03-31,3.066405268184788619112250540,
Jammu & Kashmir Bank..,85.16667,60.00000,75.05000,40.60,2896.6106540,2021-03-31,6.762090985100082277658784223,
Scan Steels Ltd.,82.83333,60.00000,77.21000,40.95,214.3826685,2021-03-31,6.972788246892894907565858368,
IZMO Ltd.,82.00000,75.00000,66.20000,85.30,112.5252010,2021-03-31,4.220971050967359473333656628,
Hindustan Tin Works ..,81.33333,70.00000,72.81000,102.05,106.1289385,2021-03-31,7.274435473868345905287634244,
Nava Bharat Ventures..,81.16667,70.00000,67.10000,106.55,1530.5566540,2021-03-31,3.725525778155866488065205617,
PTC India Ltd.,80.83333,75.00000,65.76000,102.90,3045.9254070,2021-03-31,6.788937923772564641707038525,
Man Industries (Indi..,80.66667,65.00000,62.35000,108.30,618.4265730,2021-03-31,6.133635087790837946302658362,
Uflex Ltd.,80.16667,65.00000,69.39000,541.40,3909.5306100,2021-03-31,4.635289450024704705777699086,
Starteck Finance Ltd.,79.00000,80.00000,66.99000,83.80,83.0483140,2021-03-31,2.207363638662474607415898919,
Veritas (India) Ltd.,78.66667,65.00000,76.20000,129.15,346.2511500,2021-03-31,3.163786392117456212853375220,
Sindhu Trade Links L..,78.33333,65.00000,68.94000,97.85,502.9255160,2020-12-31,5.627114121439851124445195876,
Sambandam Spinning M..,78.00000,70.00000,78.59000,184.90,78.8524540,2021-03-31,9.738349663107876581560126804,
Bank of India,78.00000,70.00000,63.27000,77.05,28493.8158110,2021-03-31,12.12538004922542348342261474,
AK Capital Services ..,77.83333,85.00000,60.66000,437.50,288.7500000,2020-12-31,4.419949561051020563827961217,
Hindustan Petroleum ..,77.83333,65.00000,62.44000,297.95,42265.6465985,2021-03-31,4.057336793814709551470575219,
ATV Projects India L..,77.66667,75.00000,76.58000,9.78,51.9488172,2021-03-31,7.460637129256682533870377151,
Oil And Natural Gas ..,77.50000,65.00000,61.30000,118.45,152009.6709440,2021-03-31,9.029804835767327581803780702,
Shiva Mills Ltd.,77.00000,80.00000,76.78000,89.60,77.4305280,2021-03-31,9.051858257598105575378945539,
Batliboi Ltd.,76.83333,60.00000,66.46000,24.45,70.2103755,2021-03-31,8.639331750339213025780189959,
Suryalata Spinning M..,76.66667,75.00000,76.12000,269.95,115.1876650,2021-03-31,6.137205126561241782010657071,
Shilp Gravures Ltd.,75.66667,70.00000,67.83000,105.50,64.8803900,2021-03-31,6.193771707555344725959359464,
Aries Agro Ltd.,75.33333,70.00000,60.97000,129.85,168.8608355,2021-03-31,9.403566910162442363775012510,
Competent Automobile..,75.33333,60.00000,62.97000,198.55,122.0288300,2021-03-31,6.973194555464554186164451494,
Gokul Agro Resources..,75.16667,70.00000,70.83000,40.55,534.8342250,2021-03-31,6.890879398564725834765038856,
Brightcom Group Ltd.,74.50000,65.00000,80.61000,24.60,1332.9546900,2021-03-31,2.585511048330138230249218041,
Polyspin Exports Ltd.,74.16667,75.00000,66.47000,74.15,74.1500000,2021-03-31,8.483496367484697671757908586,
Sayaji Industries Ltd.,73.83333,65.00000,65.35000,241.30,152.5016000,2021-03-31,9.229488771234900242728287369,
Keerthi Industries L..,73.83333,65.00000,63.11000,137.30,110.0692910,2021-03-31,5.714502141169429369710807901,
Halder Venture Ltd.,73.50000,75.00000,76.54000,200.65,63.4194455,2021-03-31,3.834678257785170870128917048,
Jindal Steel & Power..,73.33333,65.00000,62.32000,388.15,39591.9210400,2021-03-31,10.89597689598138743135099446,
